ID;Name;Relationship;Model;IsActive;CrossFilteringBehavior;RelyOnReferentialIntegrity;FromTable;FromColumn;FromCardinality;ToTable;ToColumn;ToCardinality;State;SecurityFilteringBehavior
499664;"be1d06c7-51cc-446d-a791-6160746c4dda";"'PARTOS'[FechaParto] *[<-]1 'LocalDateTable_af14d455-f62f-4477-9f8e-3d4e989c8288'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PARTOS";"FechaParto";"Many";"LocalDateTable_af14d455-f62f-4477-9f8e-3d4e989c8288";"Date";"One";"Ready";"Single"
72020;"320f1cb6-70de-4b15-b6bc-4f6ce3456b63";"'REFERENCIA'[FECHALLAM] *[<-]1 'LocalDateTable_297d578a-c048-4aa5-8644-e07a27460348'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"REFERENCIA";"FECHALLAM";"Many";"LocalDateTable_297d578a-c048-4aa5-8644-e07a27460348";"Date";"One";"Ready";"Single"
72021;"281034d1-8bbe-4202-bb6c-2c5f25b954d4";"'REFERENCIA'[FECHALLEG] *[<-]1 'LocalDateTable_9224751e-1108-4bd4-b12c-59d4d2aeccff'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"REFERENCIA";"FECHALLEG";"Many";"LocalDateTable_9224751e-1108-4bd4-b12c-59d4d2aeccff";"Date";"One";"Ready";"Single"
681725;"39cf7e1f-fd5d-a125-61a6-a9eabe03b398";"'REFERENCIA'[OID_ASEGURADORA] *[<-]1 'ASEGURADORAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"REFERENCIA";"OID_ASEGURADORA";"Many";"ASEGURADORAS";"OID";"One";"Ready";"Single"
4755972;"9e0dec29-e762-874f-ac07-6c8e9a7a58ff";"'PORCENTAJE_OCUP'[fecha] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PORCENTAJE_OCUP";"FECHA";"Many";"Calendario";"Date";"One";"Ready";"Single"
933535;"e3603bec-fd15-5935-75e1-7f2fe86c89ee";"'OBSERVADOS'[HCENTRIAGE] *[<-]1 'OPORTUNIDAD_TRIAGE'[OID_TRIAGE]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";False;"OneDirection";False;"OBSERVADOS";"HCENTRIAGE";"Many";"OPORTUNIDAD_TRIAGE";"OID_TRIAGE";"One";"Ready";"Single"
4755986;"84d88c97-7703-3825-4ca8-f258668dc4c4";"'OBSERVADOS'[fecha] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"OBSERVADOS";"FECHA";"Many";"Calendario";"Date";"One";"Ready";"Single"
346597;"e3aaf415-a4a9-9644-89d7-20ed7d78a54e";"'IMAGENES_CARDIOLOGIA'[OID] *[<-]1 'ASEGURADORAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"IMAGENES_CARDIOLOGIA";"OID";"Many";"ASEGURADORAS";"OID";"One";"Ready";"Single"
4755965;"771062af-9cfa-db54-a1c2-1efd641eb05f";"'IMAGENES_CARDIOLOGIA'[FECHA] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"IMAGENES_CARDIOLOGIA";"FECHA";"Many";"Calendario";"Date";"One";"Ready";"Single"
346873;"4f64abeb-af21-5785-78bf-3919ece96fc0";"'IMAGENES_ECOGRAFIA'[OID] *[<-]1 'ASEGURADORAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"IMAGENES_ECOGRAFIA";"OID";"Many";"ASEGURADORAS";"OID";"One";"Ready";"Single"
4755966;"25401ee9-6d71-3a2e-cec1-07a783a6b1b2";"'IMAGENES_ECOGRAFIA'[FECHA] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"IMAGENES_ECOGRAFIA";"FECHA";"Many";"Calendario";"Date";"One";"Ready";"Single"
347149;"72ef0afb-0a72-0fd3-a2b6-c5af212bca11";"'IMAGENES_OTRAS'[OID] *[<-]1 'ASEGURADORAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"IMAGENES_OTRAS";"OID";"Many";"ASEGURADORAS";"OID";"One";"Ready";"Single"
6999828;"3edd5746-f0c5-439f-91f5-a5ca580428b1";"'IMAGENES_OTRAS'[FECHA] *[<-]1 'LocalDateTable_8dc76051-35b9-43f0-bd25-4b56ba9c8af8'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"IMAGENES_OTRAS";"FECHA";"Many";"LocalDateTable_8dc76051-35b9-43f0-bd25-4b56ba9c8af8";"Date";"One";"Ready";"Single"
4755964;"b6f05100-b07b-443e-ae67-6f86bf1f8082";"'Calendario'[Date] *[<-]1 'LocalDateTable_b1234d38-f4fa-40d7-9f3d-98402bedb5dc'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"Calendario";"Date";"Many";"LocalDateTable_b1234d38-f4fa-40d7-9f3d-98402bedb5dc";"Date";"One";"Ready";"Single"
4755971;"d39713a2-6e53-1b23-ff09-dcd99d464666";"'Calendario'[Date] 1[<->]1 'EGRESOS'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"EGRESOS";"FECHA";"One";"Ready";"Single"
4755973;"ca93f6c1-e444-6fe9-2aa4-a72fc0364d6f";"'Calendario'[Date] 1[<->]1 'ATENCIONES_IMAGENES'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"ATENCIONES_IMAGENES";"FECHA";"One";"Ready";"Single"
4755974;"52052290-5cec-8679-41f7-5f14c69162a5";"'Calendario'[Date] 1[<->]1 'EGRESOS_UCI'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"EGRESOS_UCI";"FECHA";"One";"Ready";"Single"
4755975;"107f0e1c-4b16-d1fe-41c7-e7760e39ce6c";"'Calendario'[Date] 1[<->]1 'CIRUGIAS_ARC'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"CIRUGIAS_ARC";"FECHA";"One";"Ready";"Single"
4755976;"6463c64c-b116-6f36-94f2-1d210ef87b63";"'Calendario'[Date] 1[<->]1 'ATENCIONES_LABORATORIO'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"ATENCIONES_LABORATORIO";"FECHA";"One";"Ready";"Single"
4755977;"4201784e-87c6-c20d-6008-50887dde5f9a";"'Calendario'[Date] 1[<->]1 'EGRESOS_URGENCIAS'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"EGRESOS_URGENCIAS";"FECHA";"One";"Ready";"Single"
4755978;"482ec7ad-ca83-87c5-5000-bfb46d1ee37a";"'Calendario'[Date] 1[<->]1 'EGRESOS_GINECO'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"EGRESOS_GINECO";"FECHA";"One";"Ready";"Single"
4755979;"b08cd20d-15d3-b4a3-685a-7510253381bf";"'Calendario'[Date] 1[<->]1 'CONSULTA_AMBULATORIAS'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"CONSULTA_AMBULATORIAS";"FECHA";"One";"Ready";"Single"
4755980;"e3855cd3-f974-ed9f-9865-7df5045444d3";"'Calendario'[Date] 1[<->]1 'EGRESOS_NEONATOS'[FECHA]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"Calendario";"Date";"One";"EGRESOS_NEONATOS";"FECHA";"One";"Ready";"Single"
562092;"AutoDetected_53428537-9d48-4761-ae36-fd1d448e6f6b";"'ASEGURADORAS'[OID] 1[<->]1 'SERVICIO'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"ASEGURADORAS";"OID";"One";"SERVICIO";"OID";"One";"Ready";"Single"
839659;"a406b0ed-3e36-8ed6-0f63-d0291a3207cc";"'ASEGURADORAS'[GENTERCER1] *[<-]1 'TERCERO'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"ASEGURADORAS";"GENTERCER1";"Many";"TERCERO";"OID";"One";"Ready";"Single"
7000972;"4f8d2c34-5606-b555-25a5-a92943bd7ef8";"'LABORATORIOS'[FECHA_ATENCION] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"LABORATORIOS";"FECHA_ATENCION";"Many";"Calendario";"Date";"One";"Ready";"Single"
397270;"8dc0d0d3-f3e1-41e0-adf1-c2f7571869b7";"'QUIMIOTERAPIA'[FECHA_ADMISION] *[<-]1 'LocalDateTable_3daccb3b-4045-4270-af5e-a142c5b7af71'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"QUIMIOTERAPIA";"FECHA_ADMISION";"Many";"LocalDateTable_3daccb3b-4045-4270-af5e-a142c5b7af71";"Date";"One";"Ready";"Single"
398302;"0b678986-b2e4-40db-974c-538746cdc589";"'QUIMIOTERAPIA'[FECHA] *[<-]1 'LocalDateTable_6cc69554-6ebc-4352-8ca1-3ad90ce2be7e'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"QUIMIOTERAPIA";"FECHA";"Many";"LocalDateTable_6cc69554-6ebc-4352-8ca1-3ad90ce2be7e";"Date";"One";"Ready";"Single"
407832;"db16a202-6327-4c72-89e7-15d6259672fb";"'RADIOTERAPIA'[FECHA_ADMISION] *[<-]1 'LocalDateTable_c2b3ba0f-3b43-459e-9993-f1222cff83b8'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"RADIOTERAPIA";"FECHA_ADMISION";"Many";"LocalDateTable_c2b3ba0f-3b43-459e-9993-f1222cff83b8";"Date";"One";"Ready";"Single"
407833;"d285ef39-a9bb-4f4c-8d6f-e1275f300e0d";"'RADIOTERAPIA'[FECHA] *[<-]1 'LocalDateTable_6c66b7fe-0cf1-4a09-980c-0ea12f65e138'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"RADIOTERAPIA";"FECHA";"Many";"LocalDateTable_6c66b7fe-0cf1-4a09-980c-0ea12f65e138";"Date";"One";"Ready";"Single"
409208;"ccd2c21d-5f50-46ea-8ff8-99d329969221";"'UNIDAD CARDIONEUROVASCULAR'[FECHA_SERVICIO] *[<-]1 'LocalDateTable_7728cfe5-1b4f-49eb-981b-d9eb4256b6d3'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"UNIDAD CARDIONEUROVASCULAR";"FECHA_SERVICIO";"Many";"LocalDateTable_7728cfe5-1b4f-49eb-981b-d9eb4256b6d3";"Date";"One";"Ready";"Single"
409209;"02836f4c-4eb5-4465-ad0f-6beea69f48da";"'UNIDAD CARDIONEUROVASCULAR'[FECHA] *[<-]1 'LocalDateTable_6af4337a-a6f2-43bc-a9ed-0af09b2d21e1'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"UNIDAD CARDIONEUROVASCULAR";"FECHA";"Many";"LocalDateTable_6af4337a-a6f2-43bc-a9ed-0af09b2d21e1";"Date";"One";"Ready";"Single"
556639;"c7fde60a-21a7-4044-80be-22918d27d7e1";"'PROMEDIO_ESTANCIA'[FECHA_SALIDA_SERV] *[<-]1 'LocalDateTable_c6c9bc76-e106-4d6a-93bd-b53a0b8d66a9'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PROMEDIO_ESTANCIA";"FECHA_SALIDA_SERV";"Many";"LocalDateTable_c6c9bc76-e106-4d6a-93bd-b53a0b8d66a9";"Date";"One";"Ready";"Single"
556640;"11550a22-413c-4734-95bf-ad8ec59eb7e0";"'PROMEDIO_ESTANCIA'[FECHA] *[<-]1 'LocalDateTable_0741051d-a784-47a4-a41e-32116358492e'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PROMEDIO_ESTANCIA";"FECHA";"Many";"LocalDateTable_0741051d-a784-47a4-a41e-32116358492e";"Date";"One";"Ready";"Single"
556641;"0cfd0d8a-ea42-4cb8-bd42-06bbd22033e2";"'PROMEDIO_ESTANCIA'[FECHA_INGRESO] *[<-]1 'LocalDateTable_60d9e697-45c6-4cc8-ab9a-cb3de2ea0daf'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PROMEDIO_ESTANCIA";"FECHA_INGRESO";"Many";"LocalDateTable_60d9e697-45c6-4cc8-ab9a-cb3de2ea0daf";"Date";"One";"Ready";"Single"
556642;"b02544d4-8674-445d-80a9-c3036ef82e72";"'PROMEDIO_ESTANCIA'[FECHA_INGRESO_SERVICIO] *[<-]1 'LocalDateTable_9e7a955a-4e14-4e00-9136-e0e15351d8c7'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PROMEDIO_ESTANCIA";"FECHA_INGRESO_SERVICIO";"Many";"LocalDateTable_9e7a955a-4e14-4e00-9136-e0e15351d8c7";"Date";"One";"Ready";"Single"
556643;"738aa574-36d8-489f-a949-b4b1a2b70b81";"'PROMEDIO_ESTANCIA'[FECHA_EGR] *[<-]1 'LocalDateTable_7c4ea561-fccc-4d3c-8855-11f8d20177f3'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PROMEDIO_ESTANCIA";"FECHA_EGR";"Many";"LocalDateTable_7c4ea561-fccc-4d3c-8855-11f8d20177f3";"Date";"One";"Ready";"Single"
556644;"fd03da78-ad95-4043-b873-c43d2c03e8c5";"'PROMEDIO_ESTANCIA'[FECHA_EGRESO] *[<-]1 'LocalDateTable_92dd464b-e2e7-4f9b-a8ec-56b51a2e0577'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PROMEDIO_ESTANCIA";"FECHA_EGRESO";"Many";"LocalDateTable_92dd464b-e2e7-4f9b-a8ec-56b51a2e0577";"Date";"One";"Ready";"Single"
564524;"74ce7545-ad92-d2be-4c98-813491b3ca00";"'PROMEDIO_ESTANCIA'[OidCama] *[<->]1 'CAMAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"PROMEDIO_ESTANCIA";"OidCama";"Many";"CAMAS";"OID";"One";"Ready";"Single"
668842;"7b873dc3-89ab-f0dd-1bc8-992396d8e312";"'PROMEDIO_ESTANCIA'[OID_ASEGURADORA] *[<-]1 'ASEGURADORAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PROMEDIO_ESTANCIA";"OID_ASEGURADORA";"Many";"ASEGURADORAS";"OID";"One";"Ready";"Single"
563471;"58e5a72c-f8c6-2dca-b4c0-274ffae53e03";"'CAMAS'[HPNSUBGRU] *[<-]1 'UNIDAD'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"CAMAS";"HPNSUBGRU";"Many";"UNIDAD";"OID";"One";"Ready";"Single"
562092;"AutoDetected_53428537-9d48-4761-ae36-fd1d448e6f6b";"'SERVICIO'[OID] 1[<->]1 'ASEGURADORAS'[OID]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"SERVICIO";"OID";"One";"ASEGURADORAS";"OID";"One";"Ready";"Single"
4755994;"3c4db78e-3919-5bc5-076b-04e442f0c1c7";"'PARTOS_DRIVE'[FECHA_REAL] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"PARTOS_DRIVE";"FECHA_REAL";"Many";"Calendario";"Date";"One";"Ready";"Single"
987340;"2c15ec62-4b6c-4101-849d-09a59d2be632";"'EGRESOS Y TRASLADOS'[FECHA_INGRESO_CAMA] *[<-]1 'LocalDateTable_058e66b7-704b-43f7-afc0-81a69284401d'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"EGRESOS Y TRASLADOS";"FECHA_INGRESO_CAMA";"Many";"LocalDateTable_058e66b7-704b-43f7-afc0-81a69284401d";"Date";"One";"Ready";"Single"
987341;"43fc432b-04ab-4b57-b000-48da8769cb22";"'EGRESOS Y TRASLADOS'[FECHA_EGRESO_CAMA] *[<-]1 'LocalDateTable_9647f585-f449-495d-9e18-e8ff38b3c511'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"EGRESOS Y TRASLADOS";"FECHA_EGRESO_CAMA";"Many";"LocalDateTable_9647f585-f449-495d-9e18-e8ff38b3c511";"Date";"One";"Ready";"Single"
987343;"31a115c8-2010-4e88-a359-468cde8244fc";"'EGRESOS Y TRASLADOS'[FECHA_INGRESO_INST] *[<-]1 'LocalDateTable_ebeb447a-abfc-49d8-ac73-777acd3bb194'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"EGRESOS Y TRASLADOS";"FECHA_INGRESO_INST";"Many";"LocalDateTable_ebeb447a-abfc-49d8-ac73-777acd3bb194";"Date";"One";"Ready";"Single"
987344;"59c9f337-5cf0-40b2-83f7-406852934228";"'EGRESOS Y TRASLADOS'[FECHA_EGRESO_FACTURACION] *[<-]1 'LocalDateTable_a2cb25e7-e5bc-4aaf-bb69-620ba17c65a6'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"EGRESOS Y TRASLADOS";"FECHA_EGRESO_FACTURACION";"Many";"LocalDateTable_a2cb25e7-e5bc-4aaf-bb69-620ba17c65a6";"Date";"One";"Ready";"Single"
994334;"2771b945-5b50-4bad-b8a1-58f68dcc2747";"'EGRESOS Y TRASLADOS'[FECHA_EGRESO_FINAL] *[<-]1 'LocalDateTable_4badb09a-ac87-4e70-9cc0-b28b4846f557'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"EGRESOS Y TRASLADOS";"FECHA_EGRESO_FINAL";"Many";"LocalDateTable_4badb09a-ac87-4e70-9cc0-b28b4846f557";"Date";"One";"Ready";"Single"
4755969;"f887924e-b0ab-3ac6-fabb-87b8e684a732";"'EGRESOS Y TRASLADOS'[FECHA] *[<-]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"OneDirection";False;"EGRESOS Y TRASLADOS";"FECHA";"Many";"Calendario";"Date";"One";"Ready";"Single"
4755973;"ca93f6c1-e444-6fe9-2aa4-a72fc0364d6f";"'ATENCIONES_IMAGENES'[FECHA] 1[<->]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"ATENCIONES_IMAGENES";"FECHA";"One";"Calendario";"Date";"One";"Ready";"Single"
4755976;"6463c64c-b116-6f36-94f2-1d210ef87b63";"'ATENCIONES_LABORATORIO'[FECHA] 1[<->]1 'Calendario'[Date]";"2e2ccf6e-c7a1-433d-bd3c-e102099f44e1";True;"BothDirections";False;"ATENCIONES_LABORATORIO";"FECHA";"One";"Calendario";"Date";"One";"Ready";"Single"
